id;kategoriya;tovar;pokupatel;cena_rynka_orientir;perekup;no_install;capital;marzha;speed;logistics;on_order;visual;repeat;RAW;PRODUCT_FIT;status;flagi;prichina;zametka
K03;CRAFT;Заготовки под сублимацию: кружки, футболки, чехлы;Мастерская печати;300-3000;10;10;10;2;9;8;8;8;10;8.3;8.3;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;Ozon дешевле, чем берут мастерские
Y05;GIFT_VISUAL;Настольные игры и головоломки;Частник, подарок;800-5000;10;10;10;3;9;9;8;9;4;8.3;8.3;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
U02;RAW_HYPOTHESIS;Бижутерия и украшения под золото;Частник;300-3000;10;10;10;2;9;10;8;10;4;8.3;8.3;ОТСЕЯН;RF-MP,RF-ILLIQUID;"массово на маркетплейсах по цене, ниже которой перепродавать нечего; высокая вероятность неликвида";Без стоп-флагов регулирования, но ценовая война на МП и мода
A01;FURN_ACCESS;Чехлы на диваны и кресла по типоразмерам;Частник;1500-6000;10;10;9;4;9;9;7;9;4;8.25;8.25;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
A05;FURN_ACCESS;Организаторы в ящики и разделители;Частник;400-2000;10;10;10;2;9;10;8;8;5;8.25;8.25;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
K11;CRAFT;Наборы для алмазной мозаики и творчества;Частник, подарок;500-3000;10;10;10;2;9;10;8;9;4;8.25;8.25;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
O03;STORAGE;Вакуумные пакеты для хранения вещей;Частник;500-2500;10;10;10;2;9;10;8;8;5;8.25;8.25;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
Q04;PROBLEM;Средства от грызунов и насекомых профессиональные;УК, склад, общепит;800-8000;10;10;9;4;8;9;8;4;10;8.25;8.25;ОТСЕЯН;RF-LICENSE;лицензирование, обязательная маркировка или личная ответственность;
Y01;GIFT_VISUAL;Наборы для бариста и чайные наборы подарочные;Частник, корпоративный подарок;1500-9000;10;10;9;4;8;9;8;10;4;8.25;8.25;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
U08;RAW_HYPOTHESIS;Парфюмерия и косметика на перепродажу;Частник;1000-12000;10;10;8;4;8;10;7;9;7;8.25;8.25;ОТСЕЯН;RF-MP,RF-LICENSE;"массово на маркетплейсах по цене, ниже которой перепродавать нечего; лицензирование, обязательная маркировка или личная ответственность";Обязательная маркировка Честный знак плюс ценовая война на МП
F16;FITTINGS;Опоры-колёса для мебели с тормозом, комплекты;Цех, частник;400-2000;10;9;10;3;9;10;8;6;6;8.2;8.2;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
A02;FURN_ACCESS;Наматрасники и защитные чехлы для матрасов;Частник, хостел, отель;1200-5000;10;10;9;4;9;9;7;7;5;8.2;8.2;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
P04;PACKAGING;Зип-пакеты и вакуумные пакеты партиями;Фасовщик, кондитер, интернет-магазин;500-4000;10;10;10;2;9;9;8;4;10;8.2;8.2;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
A07;FURN_ACCESS;Накладки и protectors на углы мебели для детей;Родитель;300-1200;10;10;10;2;9;10;8;7;4;8.15;8.15;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
I07;TOOLS;Измерительный инструмент профессиональный (лазерные дальномеры, угольники);Мастер, цех;2000-15000;10;10;8;5;8;10;8;7;3;8.15;8.15;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
I13;TOOLS;Термопистолеты и промышленные фены;Мастерская;2000-10000;10;10;9;4;8;10;8;6;4;8.15;8.15;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
V02;AUTO;Органайзеры и сетки в багажник;Автовладелец;500-2500;10;10;10;2;9;10;8;8;3;8.15;8.15;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
B02;SMALLBIZ;Сканеры штрихкода проводные и беспроводные;Розница, склад, ПВЗ;2000-15000;10;9;9;5;8;10;8;6;4;8.15;8.15;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
B09;SMALLBIZ;Барное оборудование малое: шейкеры, станции;Кафе, бар;1500-12000;10;10;9;4;8;9;8;8;4;8.15;8.15;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
O05;STORAGE;Органайзеры для инструмента и метизов;Мастерская, частник;800-6000;10;10;9;4;8;8;8;9;5;8.15;8.15;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
Y04;GIFT_VISUAL;Декоративные светильники и ночники;Частник, подарок;800-5000;10;9;10;3;9;9;8;10;3;8.15;8.15;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
F15;FITTINGS;Полкодержатели, конфирматы, эксцентрики - фурнитурный набор;Цех, сборщик;300-2000;10;9;10;2;9;10;8;4;9;8.1;8.1;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
G10;GARAGE;Ящики и кейсы для инструмента ударопрочные;Мастер, выездной сервис;1500-9000;10;10;9;4;9;8;8;8;3;8.1;8.1;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
F07;FITTINGS;Опоры и ножки мебельные регулируемые, комплекты;Цех, частник;300-1500;10;8;10;3;9;10;8;6;6;8.05;8.05;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
C06;CONSUM_PRO;Сварочные расходники: проволока, электроды, сопла;Сварщик, цех;1500-9000;10;10;9;3;9;8;8;3;10;8.05;8.05;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
V12;AUTO;Пусковые устройства и зарядные для АКБ;Автовладелец, сервис;3000-20000;10;10;8;5;8;9;8;7;3;8.05;8.05;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
U03;RAW_HYPOTHESIS;Часы наручные на перепродажу;Частник;2000-30000;10;10;7;5;8;10;7;10;2;8.05;8.05;ОТСЕЯН;RF-ILLIQUID;высокая вероятность неликвида;Высокий риск подделок и репутационный риск продавца
H12;HOME;Бельевые корзины и системы сортировки;Частник;800-3500;10;10;10;3;9;7;8;8;3;8.0;8.0;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
R02;B2B_CONSUM;Перчатки рабочие и СИЗ партиями;Производство, склад, стройка;800-8000;10;10;9;3;9;8;7;3;10;8.0;8.0;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
R06;B2B_CONSUM;Бумага для кассовых аппаратов и терминалов;Розница, кафе, ПВЗ;400-3000;10;10;10;2;9;8;8;2;10;8.0;8.0;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
Q01;PROBLEM;Антивибрационные подставки под стиральные машины;Частник;800-4000;10;10;10;3;9;8;8;6;3;8.0;8.0;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
Y03;GIFT_VISUAL;Наборы для барбекю и пикника;Частник, подарок;2000-12000;10;10;9;4;8;7;8;10;3;8.0;8.0;ОТСЕЯН;RF-MP,RF-ILLIQUID;"массово на маркетплейсах по цене, ниже которой перепродавать нечего; высокая вероятность неликвида";Сезонность
Z05;PETS;Автокормушки и поилки;Частник;1500-8000;10;9;9;3;9;9;8;8;3;7.9;7.9;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
S08;SPORT;Экипировка для хоккея и фигурного катания;Родитель, секция;3000-25000;10;10;8;5;7;7;7;8;6;7.9;7.9;ОТСЕЯН;RF-ILLIQUID;высокая вероятность неликвида;Размерность и сезон
V01;AUTO;Коврики салонные EVA по моделям авто;Автовладелец;2000-7000;10;10;8;4;8;8;7;9;3;7.85;7.85;ОТСЕЯН;RF-MP,RF-ILLIQUID;"массово на маркетплейсах по цене, ниже которой перепродавать нечего; высокая вероятность неликвида";Размерность по моделям даёт неликвид
Z04;PETS;Лежанки и домики для животных;Частник;800-5000;10;10;9;3;9;7;7;9;3;7.85;7.85;ОТСЕЯН;RF-MP,RF-ILLIQUID;"массово на маркетплейсах по цене, ниже которой перепродавать нечего; высокая вероятность неликвида";Размерность и мода
Y07;GIFT_VISUAL;Постеры, рамы и интерьерный декор;Частник, дизайнер;800-6000;10;9;9;4;8;7;8;10;3;7.85;7.85;ОТСЕЯН;RF-MP,RF-ILLIQUID;"массово на маркетплейсах по цене, ниже которой перепродавать нечего; высокая вероятность неликвида";Мода и вкусовщина
C11;CONSUM_PRO;Плёнка стрейч и термоусадочная для упаковки;Фасовщик, склад;1200-6000;10;10;9;3;9;6;7;3;10;7.8;7.8;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;Объём при низкой марже
B15;SMALLBIZ;Весы торговые и складские;Розница, склад, фасовка;3000-25000;10;9;8;6;7;8;8;6;3;7.8;7.8;ОТСЕЯН;RF-LICENSE;лицензирование, обязательная маркировка или личная ответственность;Требуют поверки
P07;PACKAGING;Стрейч-плёнка машинная и ручная;Склад, фасовка;1200-6000;10;10;9;3;9;6;7;3;10;7.8;7.8;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
F04;FITTINGS;Петли скрытые (Blum-совместимые) с доводчиком;Мебельный цех, частник после ремонта;150-600;10;7;10;2;9;10;7;5;8;7.75;7.75;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;Массово на МП, ценовая война
R10;B2B_CONSUM;Спецодежда рабочая партиями;Производство, стройка;2000-15000;10;10;8;4;7;7;7;6;8;7.75;7.75;ОТСЕЯН;RF-ILLIQUID;высокая вероятность неликвида;Размерность
Q10;PROBLEM;Противопожарное оснащение: огнетушители, знаки, шкафы;Магазин, офис, ПВЗ, склад;1000-9000;10;8;9;4;8;8;8;5;7;7.75;7.75;ОТСЕЯН;RF-LICENSE;лицензирование, обязательная маркировка или личная ответственность;Требование к ПВЗ и торговым точкам, но регулирование
F14;FITTINGS;Замки и системы push-to-open;Цех, частник;150-800;10;7;10;2;9;10;7;5;7;7.7;7.7;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
A11;FURN_ACCESS;Крепления и подвесы для навесных шкафов;Цех, сборщик;300-1500;10;7;10;2;9;10;8;4;7;7.7;7.7;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
O02;STORAGE;Контейнеры и боксы для хранения бытовые;Частник;400-3000;10;10;10;2;9;5;7;8;5;7.7;7.7;ОТСЕЯН;RF-MP,RF-ILLIQUID;"массово на маркетплейсах по цене, ниже которой перепродавать нечего; высокая вероятность неликвида";
H07;HOME;Системы очистки воды под мойку (картриджи и колбы);Частник;800-4000;10;6;10;3;8;9;8;5;9;7.65;7.65;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;Картриджи - расходник, но МП давит ценой
G09;GARAGE;Освещение мастерской: светильники, переноски;Мастерская, гараж;800-6000;10;7;9;4;8;9;8;7;4;7.65;7.65;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
Z09;PETS;Аквариумное оборудование: фильтры, компрессоры, свет;Аквариумист, зоомагазин;1500-12000;10;7;9;4;8;7;8;9;6;7.65;7.65;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
R05;B2B_CONSUM;Мешки для мусора промышленные и пакеты;УК, клининг, торговля;800-6000;10;10;9;2;9;6;7;2;10;7.6;7.6;ОТСЕЯН;RF-MP,RF-ILLIQUID;"массово на маркетплейсах по цене, ниже которой перепродавать нечего; высокая вероятность неликвида";
Q03;PROBLEM;Осушители воздуха бытовые и для гаража;Частник, гараж, склад;5000-30000;10;10;7;6;7;6;7;7;3;7.6;7.6;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
G07;GARAGE;Мойки высокого давления и аксессуары;Частник, автомойка;6000-40000;10;9;7;6;7;6;7;8;4;7.55;7.55;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
W06;WAREHOUSE;Пластиковые контейнеры и лотки складские;Склад, производство;300-3000;10;10;9;2;9;5;7;6;7;7.55;7.55;ОТСЕЯН;RF-ILLIQUID;высокая вероятность неликвида;Объём при низкой цене
P02;PACKAGING;Гофрокороба стандартных размеров;Интернет-магазин, склад;1000-8000;10;10;9;2;9;5;7;3;10;7.55;7.55;ОТСЕЯН;RF-MP,RF-ILLIQUID;"массово на маркетплейсах по цене, ниже которой перепродавать нечего; высокая вероятность неликвида";Воздух в кузове
P03;PACKAGING;Воздушно-пузырьковая плёнка и упаковочные материалы;Интернет-магазин, переезд;800-6000;10;10;9;2;9;5;7;3;10;7.55;7.55;ОТСЕЯН;RF-ILLIQUID;высокая вероятность неликвида;
K09;CRAFT;3D-принтеры настольные и филамент;Хоббист, микропроизводство;20000-90000;10;8;5;6;7;8;7;8;8;7.5;7.5;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
U06;RAW_HYPOTHESIS;Электроника б/у и восстановленная;Частник;3000-40000;9;9;6;6;8;10;4;8;2;7.45;7.45;ОТСЕЯН;RF-ILLIQUID;высокая вероятность неликвида;Каждая единица уникальна по состоянию, гарантия на продавце
H10;HOME;Сифоны, гибкая подводка, сантехнические комплекты;Частник, сантехник;300-2000;10;5;10;2;9;10;8;4;7;7.4;7.4;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
H06;HOME;Дверная фурнитура: ручки, замки, доводчики;Частник, УК;800-6000;10;5;9;4;8;9;8;6;5;7.35;7.35;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
G06;GARAGE;Компрессоры малые для гаража;Частник, мастерская;8000-35000;10;9;7;7;6;5;7;7;2;7.35;7.35;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
S04;SPORT;Гантели, гири, диски для дома;Частник;2000-15000;10;10;8;4;8;3;7;7;3;7.25;7.25;ОТСЕЯН;RF-MP,RF-ILLIQUID;"массово на маркетплейсах по цене, ниже которой перепродавать нечего; высокая вероятность неликвида";Вес убивает логистику
Q05;PROBLEM;Обогреватели для теплиц и подсобных помещений;Фермер, дачник;3000-20000;10;7;8;5;7;7;8;6;3;7.25;7.25;ОТСЕЯН;RF-ILLIQUID;высокая вероятность неликвида;Сезонность
H01;HOME;Сушилки для белья потолочные и настенные;Частник;900-4000;10;5;10;3;8;8;8;7;3;7.2;7.2;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
V06;AUTO;Чехлы на сиденья модельные;Автовладелец;3000-12000;10;6;8;5;7;8;7;8;2;7.2;7.2;ОТСЕЯН;RF-ILLIQUID;высокая вероятность неликвида;
U01;RAW_HYPOTHESIS;Ювелирные изделия и золото на перепродажу;Частник;10000-200000;10;10;2;7;6;10;3;10;2;7.2;7.2;ОТСЕЯН;RF-CAPITAL,RF-LICENSE,RF-ILLIQUID;"стартовый капитал выше бюджета проекта; лицензирование, обязательная маркировка или личная ответственность; высокая вероятность неликвида";Три стоп-флага сразу: оборот ДМДК требует регистрации в ГИИС и спецучёта, капитал в товаре высокий, размерность и проба дают неликвид
Z12;PETS;Наполнители и корма оптом;Зоомагазин, приют;2000-15000;10;10;8;2;8;4;6;3;10;7.15;7.15;ОТСЕЯН;RF-ILLIQUID,RF-MP;"высокая вероятность неликвида; массово на маркетплейсах по цене, ниже которой перепродавать нечего";96% рынка кормов - отечественные бренды, конкуренция с производителями
Q02;PROBLEM;Защита от протечек: датчики и краны с приводом;Частник;3000-20000;10;4;8;6;7;9;8;6;3;7.15;7.15;ОТСЕЯН;RF-INSTALL;без монтажа или выезда товар не продаётся;
V08;AUTO;Тахографы и расходка к ним;Перевозчик;3000-25000;10;4;7;7;6;9;8;4;6;7.1;7.1;ОТСЕЯН;RF-LICENSE;лицензирование, обязательная маркировка или личная ответственность;Требует поверки и регистрации
Q06;PROBLEM;Системы против наледи и обогрев труб (греющий кабель);Частник, УК;1500-12000;10;4;9;5;7;9;8;4;4;7.1;7.1;ОТСЕЯН;RF-INSTALL;без монтажа или выезда товар не продаётся;
H03;HOME;Москитные сетки готовых типоразмеров;Частник;800-3500;10;6;9;3;8;7;7;6;4;7.05;7.05;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
U07;RAW_HYPOTHESIS;Антиквариат и винтаж;Коллекционер, дизайнер;2000-100000;10;10;5;7;4;7;2;10;1;7.05;7.05;ОТСЕЯН;RF-ILLIQUID,RF-LICENSE;"высокая вероятность неликвида; лицензирование, обязательная маркировка или личная ответственность";Оборот культурных ценностей регулируется, срок реализации непредсказуем
K06;CRAFT;Гончарное оборудование: круги, печи малые;Студия, хоббист;15000-90000;10;7;5;8;6;4;7;9;3;6.95;6.95;ОТСЕЯН;RF-CAPITAL;стартовый капитал выше бюджета проекта;
H05;HOME;Ролеты и рулонные шторы готовых размеров;Частник;1000-5000;9;5;9;4;7;8;7;8;3;6.9;6.9;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
V05;AUTO;Автобоксы и багажники на крышу;Автовладелец, прокат;10000-45000;10;7;6;7;6;4;7;9;2;6.9;6.9;ОТСЕЯН;RF-ILLIQUID;высокая вероятность неликвида;Сезонность и габарит
B16;SMALLBIZ;Тепловые завесы и сушилки для рук;Магазин, кафе, офис;4000-25000;10;4;8;6;7;7;8;6;2;6.9;6.9;ОТСЕЯН;RF-INSTALL;без монтажа или выезда товар не продаётся;
S01;SPORT;Татами и покрытия для залов единоборств;Клуб, секция, школа;15000-90000;10;7;5;9;5;3;7;8;2;6.8;6.8;ОТСЕЯН;RF-CAPITAL;стартовый капитал выше бюджета проекта;Высший балл товарной матрицы этапа 1, но капитал
U04;RAW_HYPOTHESIS;Инвестиционные монеты и слитки;Частник;20000-300000;10;10;1;5;7;10;3;8;2;6.75;6.75;ОТСЕЯН;RF-CAPITAL,RF-LICENSE;"стартовый капитал выше бюджета проекта; лицензирование, обязательная маркировка или личная ответственность";
Z07;PETS;Оборудование для дрессировочных площадок и аджилити;Клуб, площадка;10000-60000;10;6;6;8;5;3;7;9;2;6.7;6.7;ОТСЕЯН;RF-CAPITAL;стартовый капитал выше бюджета проекта;
V04;AUTO;Защита картера по моделям;Автовладелец;3000-12000;10;4;8;5;7;6;7;6;2;6.6;6.6;ОТСЕЯН;RF-INSTALL,RF-ILLIQUID;"без монтажа или выезда товар не продаётся; высокая вероятность неликвида";
H09;HOME;Мебель для прихожей в разборе (модули);Частник;3000-15000;10;6;7;5;6;4;7;8;2;6.55;6.55;ОТСЕЯН;RF-ILLIQUID;высокая вероятность неликвида;
W12;WAREHOUSE;Рампы и мостики погрузочные малые;Склад;15000-80000;10;7;5;8;5;3;7;6;2;6.55;6.55;ОТСЕЯН;RF-CAPITAL;стартовый капитал выше бюджета проекта;
F17;FITTINGS;Столешницы-слэбы из массива под столы;Частник, дизайнер;8000-40000;8;7;5;8;5;4;6;10;2;6.4;6.4;ОТСЕЯН;RF-ILLIQUID;высокая вероятность неликвида;Каждый слэб уникален, размерность даёт неликвид
V03;AUTO;Фаркопы по моделям авто;Автовладелец;6000-25000;10;3;7;7;6;5;7;6;2;6.4;6.4;ОТСЕЯН;RF-INSTALL,RF-ILLIQUID;"без монтажа или выезда товар не продаётся; высокая вероятность неликвида";Установка почти всегда и размерность
